iter	Logloss
230	0.345663854
231	0.3456111452
232	0.3455497033
233	0.3454740657
234	0.3453938775
235	0.3453196207
236	0.3452645376
237	0.3452231566
238	0.3451838439
239	0.3450936626
240	0.3450382037
241	0.3449673647
242	0.3449177471
243	0.3448595292
244	0.3447777545
245	0.3447192633
246	0.3446474341
247	0.3445984715
248	0.3445434976
249	0.3444899679
250	0.3444512329
251	0.3443922415
252	0.3443377254
253	0.3442734263
254	0.3442191485
255	0.3441820848
256	0.3441230762
257	0.3440816339
258	0.3440368913
259	0.3439663838
260	0.3439052981
261	0.3438368226
262	0.3437845303
263	0.3437381123
264	0.3436904979
265	0.3436435052
266	0.3435919361
267	0.3435297672
268	0.3434736705
269	0.3434196434
270	0.3433707127
271	0.3432950499
272	0.343250052
273	0.3431980311
274	0.3431322612
275	0.3430637725
276	0.3429963766
277	0.3429292486
278	0.3428616177
279	0.3427953421
280	0.3427372316
281	0.3426749385
282	0.3426343129
283	0.3425771728
284	0.3425179964
285	0.3424681874
286	0.3423947004
287	0.3423517352
288	0.3422839482
289	0.3422198234
290	0.3421600381
291	0.3421198142
292	0.3420587532
293	0.3420030361
294	0.3419420381
295	0.3418926147
296	0.3418446122
297	0.3417994054
298	0.3417672826
299	0.341733961
300	0.3416944871
301	0.341644333
302	0.3415888862
303	0.3415390567
304	0.3414673287
305	0.3414236375
306	0.3413879443
307	0.3413336308
308	0.3412666092
309	0.3412157359
310	0.341168587
311	0.3411131456
312	0.3410593184
313	0.3410142607
314	0.3409652576
315	0.3409117991
316	0.3408547519
317	0.3407880428
318	0.3407246419
319	0.3406579189
320	0.3405899685
321	0.3405619535
322	0.34050373
323	0.3404511993
324	0.340393289
325	0.3403379584
326	0.3402862495
327	0.340240056
328	0.3401730438
329	0.3401256079
330	0.3400778848
331	0.3400217406
332	0.3399670792
333	0.339906676
334	0.3398687416
335	0.3398382594
336	0.339794257
337	0.3397474615
338	0.3396864773
339	0.3396248925
340	0.3395634351
341	0.3395133274
342	0.3394606414
343	0.3394169325
344	0.3393575398
345	0.3393085546
346	0.3392537232
347	0.3392158582
348	0.339174398
349	0.3391285751
350	0.3390860925
351	0.3390345168
352	0.3389898157
353	0.338931408
354	0.3388721014
355	0.3388230293
356	0.3387797872
357	0.3387285863
358	0.338658438
359	0.338600391
360	0.3385367678
361	0.338464914
362	0.3384042387
363	0.3383652075
364	0.3383243385
365	0.3382625981
366	0.3382264186
367	0.3381670896
368	0.3381217774
369	0.3380590731
370	0.3380104586
371	0.3379771901
372	0.3379273106
373	0.3378754238
374	0.3378275046
375	0.3377815258
376	0.3377368151
377	0.3376718933
378	0.3376306799
379	0.3375933649
380	0.337544241
381	0.3374957755
382	0.3374495668
383	0.3373999061
384	0.3373659816
385	0.3373219254
386	0.3372797304
387	0.3372319765
388	0.3371995412
389	0.3371466179
390	0.3370942795
391	0.3370371644
392	0.3369989627
393	0.3369564162
394	0.3369058147
395	0.3368592323
396	0.336830583
397	0.3367840241
398	0.3367404716
399	0.3366932964
400	0.3366546504
401	0.3366177619
402	0.3365807804
403	0.3365416888
404	0.3364774854
405	0.3364316104
406	0.3363715352
407	0.3363245116
408	0.336290566
409	0.3362416107
410	0.3362086642
411	0.3361535255
412	0.3361080967
413	0.3360632194
414	0.336030619
415	0.3359765265
416	0.3359267349
417	0.3358916344
418	0.3358349674
419	0.335796149
420	0.335757382
421	0.3357162271
422	0.3356763067
423	0.3356205152
424	0.3355659491
425	0.3355108929
426	0.3354688663
427	0.3354427834
428	0.3353953697
429	0.3353569023
430	0.3353167974
431	0.3352705401
432	0.3352204043
433	0.3351733978
434	0.3351258154
435	0.3350845845
436	0.3350493124
437	0.3350080167
438	0.3349653316
439	0.3349272706
440	0.3348829375
441	0.334850041
442	0.3348239944
443	0.3347674285
444	0.3347384707
445	0.3346625432
446	0.3346085107
447	0.3345609531
448	0.3345258658
449	0.3344833144
450	0.3344455037
451	0.3343920893
452	0.3343486728
453	0.3343113345
454	0.3342727083
455	0.3342268126
456	0.3341826395
457	0.3341292502
458	0.3340978785
459	0.3340490941
460	0.3340045878
461	0.3339676669
462	0.3339147406
463	0.333868208
464	0.3338101156
465	0.3337757892
466	0.3337347616
467	0.3336782242
468	0.3336259597
469	0.3335911913
470	0.3335486635
471	0.3335066628
472	0.3334622766
473	0.3334056604
474	0.3333681475
475	0.3333059816
476	0.3332672225
477	0.33322763
478	0.3331688756
479	0.3331213683
480	0.3330851253
481	0.3330445328
482	0.3330115632
483	0.3329694652
484	0.3329284479
485	0.3328978942
486	0.3328570042
487	0.3328125594
488	0.3327695934
489	0.3327291307
490	0.3326882272
491	0.3326444296
492	0.3326097188
493	0.3325564811
494	0.3325094483
495	0.3324655318
496	0.3324381785
497	0.3323854429
498	0.3323417064
499	0.3323090963
500	0.33224817
501	0.3322108906
502	0.3321767088
503	0.3321409444
504	0.3320837036
505	0.3320502946
506	0.3320077974
507	0.3319780955
508	0.3319371515
509	0.3318895861
510	0.3318246199
511	0.3317834142
512	0.3317524342
513	0.3317148564
514	0.3316703468
515	0.3316407905
516	0.3315916512
517	0.3315507968
518	0.331515811
519	0.331474221
520	0.3314405942
521	0.3314055203
522	0.3313650968
523	0.3313196199
524	0.3312800416
525	0.331245529
526	0.3312195022
527	0.3311831274
528	0.3311425293
529	0.3310965901
530	0.3310448706
531	0.3310007092
532	0.3309584006
533	0.3308979936
534	0.3308444315
535	0.3307899833
536	0.3307453113
537	0.3307068057
538	0.3306619139
539	0.3306053843
540	0.3305757055
541	0.3305303443
542	0.3305011127
543	0.3304641644
544	0.3304227044
545	0.3303749709
546	0.33032761
547	0.3302845966
548	0.330251838
549	0.3302285038
550	0.330186386
551	0.3301331709
552	0.3300993586
553	0.3300737695
554	0.3300290033
555	0.3300058971
556	0.3299787309
557	0.3299346968
558	0.3298961718
559	0.3298671008
560	0.3298324769
561	0.3298029182
562	0.3297586614
563	0.3297150031
564	0.3296669012
565	0.329622344
566	0.3295784438
567	0.3295457193
568	0.3294991066
569	0.3294561404
570	0.3294183695
571	0.3293826654
572	0.329336591
573	0.3292891772
574	0.3292591951
575	0.3292185908
576	0.329182565
577	0.3291571955
578	0.3291233164
579	0.3290990842
580	0.3290611453
581	0.329016165
582	0.3289635471
583	0.3289125807
584	0.3288851075
585	0.3288477654
586	0.3288038894
587	0.3287806001
588	0.3287402138
589	0.3287072132
590	0.3286763072
591	0.3286425612
592	0.3285978433
593	0.3285568814
594	0.3285179881
595	0.3284816111
596	0.3284381401
597	0.3283902495
598	0.3283380503
599	0.3282897251
600	0.3282425344
601	0.328200653
602	0.328173816
603	0.328147631
604	0.3281050589
605	0.3280657789
606	0.3280255443
607	0.3279857039
608	0.32794112
609	0.3278874224
610	0.3278465371
611	0.3278151307
612	0.3277789285
613	0.3277433197
614	0.3277258161
615	0.3276880594
616	0.3276399242
617	0.3276023683
618	0.3275476711
619	0.3275162243
620	0.3274767497
621	0.3274467556
622	0.3274041535
623	0.3273717417
624	0.3273263942
625	0.327294113
626	0.3272562998
627	0.3272172376
628	0.3271799326
629	0.3271440335
630	0.3270920957
631	0.3270530646
632	0.3270233131
633	0.326985302
634	0.3269461146
635	0.3269035628
636	0.3268633968
637	0.3268335514
638	0.326801804
639	0.3267678147
640	0.3267206732
641	0.3266847861
642	0.3266598135
643	0.3266201697
644	0.3265857099
645	0.3265442331
646	0.3265168496
647	0.3264893887
648	0.326458002
649	0.3264222975
650	0.3263837412
651	0.3263493809
652	0.3262968704
653	0.3262675784
654	0.3262264794
655	0.3261739217
656	0.3261439326
657	0.32610808
658	0.3260604393
659	0.3260076002
660	0.325963046
661	0.3259385423
662	0.3259156636
663	0.3258816518
664	0.325856352
665	0.3258267594
666	0.3257925954
667	0.3257566706
668	0.3257310306
669	0.3256962161
670	0.3256612233
671	0.3256198835
672	0.3255828214
673	0.3255427288
674	0.3255060507
675	0.3254645998
676	0.3254196666
677	0.3253789889
678	0.3253294013
679	0.3252847111
680	0.3252400037
681	0.325200228
682	0.325164554
683	0.3251349914
684	0.3250924968
685	0.3250582954
686	0.3250092723
687	0.3249607464
688	0.3249245083
689	0.3248799834
690	0.3248488755
691	0.3248020736
692	0.324751374
693	0.3247240421
694	0.3246800185
695	0.3246479059
696	0.3246203102
697	0.32458537
698	0.3245465398
699	0.3245080533
700	0.3244672681
701	0.3244299096
702	0.324409602
703	0.324382181
704	0.324343118
705	0.3243079747
706	0.3242585308
707	0.3242275955
708	0.3241862713
709	0.3241614354
710	0.3241179896
711	0.324079262
712	0.3240396813
713	0.3239964463
714	0.323964915
715	0.3239482072
716	0.3239129499
717	0.3238716849
718	0.3238380235
719	0.3237960063
720	0.3237736394
721	0.3237440664
722	0.3237102804
723	0.3236903016
724	0.3236445902
725	0.3236194333
726	0.3235804571
727	0.3235362588
728	0.3235016142
729	0.3234650166
730	0.3234160584
731	0.3233862962
732	0.3233474656
733	0.32331115
734	0.323276816
735	0.3232427547
736	0.3232125139
737	0.3231686226
738	0.3231266254
739	0.3230869581
740	0.3230548986
741	0.3230078213
742	0.322971454
743	0.3229272979
744	0.3228959149
745	0.322855882
746	0.3228093728
747	0.3227710299
748	0.3227412766
749	0.3227055577
750	0.3226571915
751	0.3226256838
752	0.3225916511
753	0.3225487368
754	0.3225063117
755	0.3224772816
756	0.3224406888
757	0.3224121516
758	0.3223644076
759	0.3223217413
760	0.3222983149
761	0.3222607862
762	0.3222176846
763	0.3221749229
764	0.322141518
765	0.3221023776
766	0.3220540576
767	0.3220343157
768	0.3219936223
769	0.3219727622
770	0.3219471287
771	0.3219053762
772	0.3218734095
773	0.3218359798
774	0.3217987063
775	0.3217545784
776	0.3217151714
777	0.3216849954
778	0.3216442171
779	0.3216087947
780	0.3215783234
781	0.3215365717
782	0.3215101726
783	0.3214867697
784	0.3214432062
785	0.321409278
786	0.3213667721
787	0.3213292683
788	0.3212915354
789	0.3212545908
790	0.3212090976
791	0.3211862348
792	0.3211356643
793	0.3210965782
794	0.3210490252
795	0.3210186093
796	0.3209784679
797	0.3209474336
798	0.3209086719
799	0.3208795368
800	0.320843491
801	0.3208026349
802	0.3207713288
803	0.3207456379
804	0.3207052975
805	0.3206684688
806	0.3206248022
807	0.3205902153
808	0.3205567053
809	0.3205289339
810	0.3204895562
811	0.3204587223
812	0.3204201373
813	0.3203923992
814	0.3203539607
815	0.320321746
816	0.320282543
817	0.3202246991
818	0.3201927703
819	0.3201561731
820	0.3201180223
821	0.3200790928
822	0.320043008
823	0.3200119578
824	0.3199758118
825	0.3199357606
826	0.3199137774
827	0.3198751649
828	0.3198333562
829	0.3197839773
830	0.3197535064
831	0.3197119287
832	0.3196774398
833	0.3196348143
834	0.31960073
835	0.3195698258
836	0.3195260195
837	0.319497959
838	0.3194785223
839	0.3194467375
840	0.3194082027
841	0.3193800613
842	0.3193439962
843	0.3193092522
844	0.3192776765
845	0.319236384
846	0.3192041227
847	0.319173312
848	0.319141773
849	0.3191135519
850	0.3190740223
851	0.3190446679
852	0.3190172431
853	0.3189777961
854	0.3189453889
855	0.3189098615
856	0.3188796323
857	0.3188387735
858	0.3188062611
859	0.3187690474
860	0.3187377266
861	0.31870003
862	0.318662885
863	0.3186304869
864	0.3186013678
865	0.3185718824
866	0.3185407795
867	0.3185199653
868	0.3185004567
869	0.3184747743
870	0.3184466621
871	0.3184044139
872	0.3183660162
873	0.318335193
874	0.3183106226
875	0.3182869469
876	0.3182618171
877	0.318236089
878	0.3181985307
879	0.318160635
880	0.3181407183
881	0.3180914775
882	0.3180526509
883	0.3180293213
884	0.3180023655
885	0.3179637721
886	0.3179388857
887	0.317901844
888	0.3178703908
889	0.3178570417
890	0.3178266372
891	0.3177877244
892	0.3177573543
893	0.3177276062
894	0.3176896179
895	0.3176444317
896	0.3176201933
897	0.3175852873
898	0.3175593011
899	0.3175252937
900	0.3174852586
901	0.3174531359
902	0.3174116957
903	0.3173746194
904	0.3173435334
905	0.3173042115
906	0.317270117
907	0.3172420094
908	0.3172140344
909	0.317170556
910	0.3171341595
911	0.3171050231
912	0.3170744677
913	0.317051941
914	0.3170160401
915	0.3169859595
916	0.3169592891
917	0.3169251574
918	0.3169005765
919	0.3168760921
920	0.31684544
921	0.3168129864
922	0.3167826861
923	0.3167548555
924	0.3167150435
925	0.3166792205
926	0.3166529388
927	0.3166108629
928	0.3165750523
929	0.3165379984
930	0.3164958444
931	0.3164661759
932	0.3164296541
933	0.3163867035
934	0.3163553682
935	0.3163226445
936	0.3162922514
937	0.316251155
938	0.3162118048
939	0.3161724806
940	0.316133615
941	0.316104654
942	0.3160742143
943	0.3160362232
944	0.31600852
945	0.3159865383
946	0.3159568902
947	0.3159268045
948	0.3158903477
949	0.3158558899
950	0.3158275304
951	0.3157996523
952	0.3157639119
953	0.3157310516
954	0.3157119111
955	0.3156799936
956	0.3156573695
957	0.3156266334
958	0.315594063
959	0.3155661831
960	0.3155266504
961	0.3154947142
962	0.3154547015
963	0.3154219722
964	0.3153941652
965	0.3153580613
966	0.3153165552
967	0.31528327
968	0.3152490849
969	0.315221119
970	0.3151835383
971	0.3151478639
972	0.3151274565
973	0.3150911883
974	0.3150636587
975	0.3150370956
976	0.3150099744
977	0.3149847923
978	0.3149498168
979	0.3149276893
980	0.3148840604
981	0.314844408
982	0.3148059161
983	0.3147700305
984	0.3147346098
985	0.3146975352
986	0.3146686413
987	0.3146356256
988	0.3145893536
989	0.314561377
990	0.3145236626
991	0.3144894151
992	0.3144516033
993	0.3144119844
994	0.314391439
995	0.3143485422
996	0.314327678
997	0.3142956996
998	0.314266844
999	0.3142395906
